Food_ID,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type
1,Bread,43,2025-03-17,110,Grocery Store,South Kellyville,Vegetarian,Breakfast
2,Soup,22,2025-03-24,791,Grocery Store,West James,Vegetarian,Dinner
3,Fruits,46,2025-03-28,478,Catering Service,Lake Regina,Vegan,Breakfast
4,Fruits,15,2025-03-16,930,Restaurant,Kellytown,Vegan,Lunch
5,Soup,14,2025-03-19,279,Restaurant,Garciaport,Vegetarian,Dinner
6,Vegetables,4,2025-03-24,378,Supermarket,South Johnshire,Vegan,Snacks
7,Dairy,29,2025-03-25,268,Grocery Store,Nolanmouth,Vegetarian,Dinner
8,Rice,49,2025-03-28,343,Catering Service,South Christopherborough,Vegan,Lunch
9,Bread,46,2025-03-25,47,Supermarket,East Andrewland,Vegetarian,Snacks
10,Rice,41,2025-03-20,528,Supermarket,Markport,Vegan,Dinner
11,Pasta,39,2025-03-17,96,Grocery Store,Deborahland,Vegetarian,Breakfast
12,Pasta,15,2025-03-28,899,Catering Service,North Steven,Vegetarian,Lunch
13,Fruits,33,2025-03-22,115,Grocery Store,Floresville,Vegan,Snacks
14,Bread,19,2025-03-30,621,Supermarket,Sarahland,Vegetarian,Dinner
15,Salad,3,2025-03-22,74,Catering Service,Belindaville,Vegan,Breakfast
16,Dairy,6,2025-03-26,862,Grocery Store,East Tammy,Vegetarian,Snacks
17,Chicken,42,2025-03-22,417,Restaurant,East Ashleyshire,Non-Vegetarian,Snacks
18,Soup,28,2025-03-27,455,Catering Service,Madisonfort,Vegetarian,Snacks
19,Rice,13,2025-03-30,419,Supermarket,Port Peter,Vegan,Breakfast
20,Pasta,41,2025-03-17,306,Catering Service,North Keith,Vegetarian,Snacks
21,Rice,38,2025-03-26,277,Catering Service,West Aliciabury,Vegan,Dinner
22,Chicken,46,2025-03-21,892,Grocery Store,Russellfurt,Non-Vegetarian,Snacks
23,Salad,43,2025-03-26,1,Supermarket,New Jessica,Vegan,Dinner
24,Bread,20,2025-03-30,897,Catering Service,Villastad,Vegetarian,Lunch
25,Rice,48,2025-03-22,898,Restaurant,Medinatown,Vegan,Breakfast
26,Vegetables,34,2025-03-27,95,Supermarket,Christinaland,Vegan,Dinner
27,Salad,12,2025-03-23,262,Supermarket,New Carol,Vegan,Breakfast
28,Chicken,5,2025-03-22,606,Grocery Store,North Nathan,Non-Vegetarian,Dinner
29,Bread,18,2025-03-19,196,Restaurant,Bartonborough,Vegetarian,Lunch
30,Soup,4,2025-03-16,616,Restaurant,Clarkberg,Vegetarian,Dinner
31,Bread,42,2025-03-22,535,Grocery Store,Valdezborough,Vegetarian,Snacks
32,Rice,27,2025-03-21,611,Supermarket,Port Kendraborough,Vegan,Lunch
33,Salad,9,2025-03-27,798,Grocery Store,North Amanda,Vegan,Breakfast
34,Bread,3,2025-03-30,396,Catering Service,Heatherside,Vegetarian,Breakfast
35,Rice,6,2025-03-23,108,Supermarket,East Austin,Vegan,Breakfast
36,Rice,35,2025-03-20,1,Supermarket,New Jessica,Vegan,Breakfast
37,Fish,19,2025-03-20,389,Grocery Store,Davidborough,Non-Vegetarian,Dinner
38,Bread,48,2025-03-22,440,Grocery Store,Elliottberg,Vegetarian,Snacks
39,Bread,48,2025-03-22,758,Catering Service,Port Patrick,Vegetarian,Breakfast
40,Fruits,12,2025-03-27,965,Restaurant,Port Bryce,Vegan,Breakfast
41,Chicken,14,2025-03-27,450,Catering Service,Grahamside,Non-Vegetarian,Dinner
42,Rice,50,2025-03-16,179,Supermarket,North Michelle,Vegan,Lunch
43,Pasta,44,2025-03-22,29,Grocery Store,Patrickmouth,Vegetarian,Lunch
44,Bread,39,2025-03-22,290,Supermarket,Bradleyport,Vegetarian,Snacks
45,Fish,17,2025-03-24,874,Catering Service,Priceland,Non-Vegetarian,Lunch
46,Pasta,25,2025-03-28,576,Catering Service,East Emilyburgh,Vegetarian,Breakfast
47,Salad,3,2025-03-17,420,Catering Service,Anthonyton,Vegan,Snacks
48,Rice,30,2025-03-16,150,Grocery Store,North Jamesberg,Vegan,Breakfast
49,Fish,41,2025-03-17,700,Supermarket,Morriston,Non-Vegetarian,Dinner
50,Salad,28,2025-03-23,514,Supermarket,Maxwellburgh,Vegan,Dinner
51,Dairy,14,2025-03-27,828,Catering Service,Torresshire,Vegetarian,Snacks
52,Vegetables,23,2025-03-29,460,Grocery Store,Lake Justin,Vegan,Snacks
53,Fruits,13,2025-03-16,174,Grocery Store,North Carolfurt,Vegan,Lunch
54,Soup,15,2025-03-17,368,Grocery Store,North Lindseychester,Vegetarian,Snacks
55,Vegetables,19,2025-03-17,967,Grocery Store,Coleburgh,Vegan,Breakfast
56,Vegetables,9,2025-03-23,125,Supermarket,Lake April,Vegan,Lunch
57,Chicken,23,2025-03-17,977,Restaurant,South Jessicachester,Non-Vegetarian,Dinner
58,Pasta,39,2025-03-28,270,Catering Service,Cunninghambury,Vegetarian,Lunch
59,Vegetables,38,2025-03-22,251,Restaurant,East Terrancemouth,Vegan,Snacks
60,Pasta,49,2025-03-28,153,Restaurant,Hawkinsmouth,Vegetarian,Breakfast
61,Fruits,33,2025-03-22,243,Catering Service,West Catherine,Vegan,Lunch
62,Rice,21,2025-03-21,520,Catering Service,Port Andre,Vegan,Breakfast
63,Salad,6,2025-03-20,335,Grocery Store,North Gary,Vegan,Dinner
64,Soup,41,2025-03-26,678,Grocery Store,Lake Travis,Vegetarian,Dinner
65,Fruits,45,2025-03-26,602,Grocery Store,North Destiny,Vegan,Breakfast
66,Fish,6,2025-03-22,577,Catering Service,Lake Donna,Non-Vegetarian,Breakfast
67,Rice,50,2025-03-24,455,Catering Service,Madisonfort,Vegan,Breakfast
68,Rice,15,2025-03-25,113,Catering Service,East Elizabethberg,Vegan,Snacks
69,Bread,47,2025-03-16,504,Catering Service,Gaineschester,Vegetarian,Snacks
70,Rice,7,2025-03-16,313,Supermarket,Boylechester,Vegan,Lunch
71,Fish,45,2025-03-19,750,Supermarket,Michaelton,Non-Vegetarian,Lunch
72,Dairy,11,2025-03-24,293,Catering Service,Joneshaven,Vegetarian,Dinner
73,Soup,48,2025-03-19,485,Restaurant,East Andrea,Vegetarian,Breakfast
74,Chicken,12,2025-03-29,387,Grocery Store,West Juliabury,Non-Vegetarian,Breakfast
75,Bread,35,2025-03-24,389,Grocery Store,Davidborough,Vegetarian,Dinner
76,Pasta,40,2025-03-16,905,Restaurant,North Kennethshire,Vegetarian,Lunch
77,Rice,4,2025-03-19,890,Restaurant,Pereztown,Vegan,Lunch
78,Chicken,1,2025-03-23,913,Grocery Store,Erikatown,Non-Vegetarian,Dinner
79,Rice,25,2025-03-19,100,Catering Service,Mooreview,Vegan,Breakfast
80,Dairy,36,2025-03-29,434,Restaurant,Nicoletown,Vegetarian,Breakfast
81,Fruits,33,2025-03-18,848,Supermarket,Fowlerbury,Vegan,Snacks
82,Vegetables,26,2025-03-23,631,Supermarket,North Kevinhaven,Vegan,Snacks
83,Rice,44,2025-03-28,312,Restaurant,North Ianbury,Vegan,Dinner
84,Rice,25,2025-03-23,967,Grocery Store,Coleburgh,Vegan,Snacks
85,Pasta,28,2025-03-16,554,Restaurant,Brandyberg,Vegetarian,Lunch
86,Soup,13,2025-03-30,288,Supermarket,Maynardstad,Vegetarian,Dinner
87,Salad,37,2025-03-28,34,Grocery Store,North Garybury,Vegan,Breakfast
88,Vegetables,22,2025-03-21,491,Supermarket,Samanthabury,Vegan,Dinner
89,Chicken,3,2025-03-27,844,Grocery Store,Olsenstad,Non-Vegetarian,Lunch
90,Bread,29,2025-03-23,477,Supermarket,East Jacobchester,Vegetarian,Breakfast
91,Vegetables,9,2025-03-22,275,Supermarket,Brittanyport,Vegan,Breakfast
92,Chicken,42,2025-03-20,752,Grocery Store,East Heatherport,Non-Vegetarian,Breakfast
93,Salad,49,2025-03-20,264,Catering Service,New Richard,Vegan,Lunch
94,Rice,35,2025-03-16,722,Restaurant,Linchester,Vegan,Lunch
95,Pasta,19,2025-03-24,120,Restaurant,New Lisa,Vegetarian,Snacks
96,Dairy,5,2025-03-25,656,Restaurant,South Tiffanyfort,Vegetarian,Breakfast
97,Rice,44,2025-03-21,346,Grocery Store,Thomasville,Vegan,Dinner
98,Salad,26,2025-03-29,632,Supermarket,Davidville,Vegan,Breakfast
99,Bread,8,2025-03-28,162,Restaurant,Penabury,Vegetarian,Dinner
100,Vegetables,22,2025-03-18,647,Restaurant,West Kara,Vegan,Breakfast
101,Dairy,35,2025-03-23,538,Restaurant,Jasonmouth,Vegetarian,Dinner
102,Rice,35,2025-03-19,584,Supermarket,Moralesside,Vegan,Snacks
103,Bread,35,2025-03-30,391,Supermarket,South Jerryside,Vegetarian,Snacks
104,Dairy,3,2025-03-29,468,Supermarket,East Johnburgh,Vegetarian,Dinner
105,Rice,2,2025-03-24,698,Grocery Store,Phillipsmouth,Vegan,Breakfast
106,Rice,31,2025-03-19,253,Catering Service,Sharonton,Vegan,Breakfast
107,Salad,29,2025-03-25,464,Catering Service,Port Jacob,Vegan,Breakfast
108,Fruits,22,2025-03-25,835,Catering Service,Thorntonbury,Vegan,Snacks
109,Fruits,7,2025-03-24,998,Grocery Store,Joshuastad,Vegan,Dinner
110,Salad,49,2025-03-17,354,Catering Service,South Alicia,Vegan,Dinner
111,Soup,13,2025-03-17,904,Grocery Store,West Miaside,Vegetarian,Snacks
112,Chicken,32,2025-03-25,308,Catering Service,Brittanyside,Non-Vegetarian,Lunch
113,Soup,14,2025-03-16,623,Supermarket,Latoyaberg,Vegetarian,Breakfast
114,Vegetables,28,2025-03-27,906,Supermarket,West Kevin,Vegan,Breakfast
115,Pasta,8,2025-03-26,963,Supermarket,East Bernard,Vegetarian,Lunch
116,Soup,32,2025-03-23,570,Supermarket,Lake Vanessa,Vegetarian,Lunch
117,Soup,32,2025-03-21,530,Catering Service,Johnstonhaven,Vegetarian,Snacks
118,Dairy,42,2025-03-28,863,Restaurant,Port Michael,Vegetarian,Lunch
119,Bread,49,2025-03-28,135,Catering Service,East Candace,Vegetarian,Breakfast
120,Rice,30,2025-03-18,785,Catering Service,Lindseybury,Vegan,Lunch
121,Vegetables,16,2025-03-30,314,Restaurant,Rodriguezfurt,Vegan,Dinner
122,Fruits,7,2025-03-20,846,Supermarket,South Thomasville,Vegan,Snacks
123,Soup,11,2025-03-25,148,Grocery Store,Annahaven,Vegetarian,Lunch
124,Salad,50,2025-03-19,909,Restaurant,Sheilaburgh,Vegan,Snacks
125,Rice,21,2025-03-17,982,Grocery Store,Westbury,Vegan,Dinner
126,Dairy,27,2025-03-18,54,Supermarket,Lake Rachael,Vegetarian,Lunch
127,Rice,48,2025-03-30,763,Restaurant,Josephburgh,Vegan,Snacks
128,Rice,39,2025-03-22,235,Catering Service,Gutierrezshire,Vegan,Snacks
129,Chicken,26,2025-03-21,798,Grocery Store,North Amanda,Non-Vegetarian,Dinner
130,Vegetables,47,2025-03-29,997,Catering Service,East Rossside,Vegan,Breakfast
131,Fish,16,2025-03-18,241,Catering Service,Devinmouth,Non-Vegetarian,Dinner
132,Soup,20,2025-03-19,840,Restaurant,Cisnerostown,Vegetarian,Snacks
133,Rice,28,2025-03-19,795,Catering Service,Brownberg,Vegan,Lunch
134,Rice,1,2025-03-16,39,Supermarket,Brittanyville,Vegan,Dinner
135,Rice,44,2025-03-23,980,Restaurant,Port Melissa,Vegan,Lunch
136,Bread,29,2025-03-17,723,Supermarket,Jessicaland,Vegetarian,Dinner
137,Pasta,29,2025-03-19,87,Grocery Store,West Adam,Vegetarian,Snacks
138,Soup,24,2025-03-18,558,Catering Service,North Sharonberg,Vegetarian,Snacks
139,Rice,3,2025-03-20,446,Catering Service,Port Richardshire,Vegan,Dinner
140,Chicken,18,2025-03-16,967,Grocery Store,Coleburgh,Non-Vegetarian,Dinner
141,Dairy,33,2025-03-29,702,Supermarket,Lake Mistyton,Vegetarian,Lunch
142,Soup,41,2025-03-29,368,Grocery Store,North Lindseychester,Vegetarian,Snacks
143,Fish,18,2025-03-24,938,Restaurant,Hollyhaven,Non-Vegetarian,Lunch
144,Bread,18,2025-03-18,810,Catering Service,Lake Jason,Vegetarian,Lunch
145,Rice,12,2025-03-29,751,Restaurant,East Richardside,Vegan,Lunch
146,Chicken,17,2025-03-25,172,Grocery Store,Garciaside,Non-Vegetarian,Lunch
147,Vegetables,47,2025-03-30,619,Grocery Store,North Katelynland,Vegan,Breakfast
148,Pasta,16,2025-03-18,650,Restaurant,Garzaville,Vegetarian,Breakfast
149,Fish,18,2025-03-20,816,Supermarket,New Jamesburgh,Non-Vegetarian,Breakfast
150,Fish,50,2025-03-28,332,Restaurant,West Whitneymouth,Non-Vegetarian,Snacks
151,Chicken,19,2025-03-23,902,Supermarket,Port Robertport,Non-Vegetarian,Dinner
152,Fish,46,2025-03-24,58,Grocery Store,North Kevinhaven,Non-Vegetarian,Dinner
153,Fish,20,2025-03-21,737,Restaurant,Port Andrea,Non-Vegetarian,Breakfast
154,Pasta,46,2025-03-30,4,Grocery Store,Mendezmouth,Vegetarian,Breakfast
155,Fruits,20,2025-03-20,602,Grocery Store,North Destiny,Vegan,Dinner
156,Fish,24,2025-03-19,970,Catering Service,Jeffreybury,Non-Vegetarian,Snacks
157,Chicken,37,2025-03-20,600,Catering Service,Meganshire,Non-Vegetarian,Breakfast
158,Bread,22,2025-03-30,687,Catering Service,North James,Vegetarian,Breakfast
159,Pasta,7,2025-03-27,653,Catering Service,Cameronside,Vegetarian,Lunch
160,Rice,27,2025-03-23,367,Grocery Store,Deckermouth,Vegan,Snacks
161,Vegetables,32,2025-03-20,414,Supermarket,New Matthew,Vegan,Breakfast
162,Pasta,50,2025-03-21,826,Supermarket,Lake Karenfurt,Vegetarian,Breakfast
163,Bread,45,2025-03-16,251,Restaurant,East Terrancemouth,Vegetarian,Dinner
164,Dairy,22,2025-03-27,432,Restaurant,Carolchester,Vegetarian,Dinner
165,Bread,22,2025-03-28,90,Supermarket,Lake Kristentown,Vegetarian,Lunch
166,Soup,9,2025-03-17,58,Grocery Store,North Kevinhaven,Vegetarian,Lunch
167,Fish,4,2025-03-20,134,Supermarket,West Melissa,Non-Vegetarian,Lunch
168,Salad,26,2025-03-20,306,Catering Service,North Keith,Vegan,Lunch
169,Fruits,18,2025-03-20,336,Supermarket,East Sandra,Vegan,Snacks
170,Fruits,49,2025-03-17,403,Grocery Store,Jeremiahfort,Vegan,Breakfast
171,Salad,25,2025-03-22,103,Catering Service,Port Michaelshire,Vegan,Snacks
172,Rice,45,2025-03-28,826,Supermarket,Lake Karenfurt,Vegan,Breakfast
173,Soup,17,2025-03-19,538,Restaurant,Jasonmouth,Vegetarian,Dinner
174,Chicken,23,2025-03-22,903,Catering Service,Lake Kari,Non-Vegetarian,Breakfast
175,Dairy,26,2025-03-30,465,Restaurant,Johnton,Vegetarian,Breakfast
176,Fish,19,2025-03-30,316,Supermarket,Williamsfort,Non-Vegetarian,Snacks
177,Dairy,22,2025-03-22,863,Restaurant,Port Michael,Vegetarian,Breakfast
178,Dairy,47,2025-03-21,847,Supermarket,Williamsonmouth,Vegetarian,Breakfast
179,Bread,11,2025-03-27,601,Catering Service,Port Troychester,Vegetarian,Breakfast
180,Salad,35,2025-03-28,7,Restaurant,Lake Christopherburgh,Vegan,Dinner
181,Rice,35,2025-03-16,47,Supermarket,East Andrewland,Vegan,Lunch
182,Soup,29,2025-03-18,247,Catering Service,Port Aaron,Vegetarian,Breakfast
183,Salad,15,2025-03-30,730,Supermarket,Benjaminstad,Vegan,Snacks
184,Salad,7,2025-03-29,182,Grocery Store,Port Jeffrey,Vegan,Dinner
185,Soup,19,2025-03-27,498,Grocery Store,East Craig,Vegetarian,Lunch
186,Pasta,48,2025-03-17,306,Catering Service,North Keith,Vegetarian,Breakfast
187,Dairy,38,2025-03-21,910,Restaurant,Leeburgh,Vegetarian,Snacks
188,Soup,4,2025-03-20,55,Grocery Store,Danachester,Vegetarian,Breakfast
189,Salad,7,2025-03-20,948,Supermarket,West Lisamouth,Vegan,Breakfast
190,Salad,25,2025-03-22,262,Supermarket,New Carol,Vegan,Snacks
191,Salad,13,2025-03-22,508,Restaurant,Walkerfurt,Vegan,Lunch
192,Vegetables,5,2025-03-17,320,Supermarket,Lake Jeffreytown,Vegan,Snacks
193,Pasta,25,2025-03-21,354,Catering Service,South Alicia,Vegetarian,Breakfast
194,Chicken,39,2025-03-26,31,Grocery Store,South Kellyberg,Non-Vegetarian,Lunch
195,Vegetables,31,2025-03-25,847,Supermarket,Williamsonmouth,Vegan,Snacks
196,Fish,27,2025-03-28,989,Grocery Store,North Lauren,Non-Vegetarian,Breakfast
197,Rice,21,2025-03-24,453,Grocery Store,East Timothy,Vegan,Breakfast
198,Bread,50,2025-03-23,287,Catering Service,Jefferyside,Vegetarian,Breakfast
199,Vegetables,16,2025-03-17,244,Supermarket,Toddberg,Vegan,Breakfast
200,Bread,3,2025-03-24,794,Supermarket,Woodport,Vegetarian,Dinner
201,Soup,35,2025-03-29,330,Restaurant,Jamesport,Vegetarian,Dinner
202,Dairy,17,2025-03-18,319,Restaurant,Lake Amymouth,Vegetarian,Lunch
203,Pasta,8,2025-03-24,215,Grocery Store,New Curtis,Vegetarian,Breakfast
204,Fish,11,2025-03-26,896,Grocery Store,Weberfurt,Non-Vegetarian,Lunch
205,Dairy,13,2025-03-20,22,Catering Service,Port Lisamouth,Vegetarian,Breakfast
206,Rice,28,2025-03-29,931,Supermarket,South Allisonburgh,Vegan,Breakfast
207,Salad,42,2025-03-23,523,Restaurant,Lake Lorrainefort,Vegan,Dinner
208,Rice,27,2025-03-26,215,Grocery Store,New Curtis,Vegan,Dinner
209,Fish,31,2025-03-26,422,Catering Service,Smithfort,Non-Vegetarian,Dinner
210,Fruits,17,2025-03-28,990,Catering Service,Lake Latasha,Vegan,Breakfast
211,Chicken,37,2025-03-22,242,Restaurant,Michaelport,Non-Vegetarian,Snacks
212,Salad,33,2025-03-20,228,Supermarket,Andrewsmouth,Vegan,Dinner
213,Fruits,20,2025-03-26,122,Catering Service,Tyronebury,Vegan,Snacks
214,Soup,9,2025-03-28,24,Supermarket,Hestermouth,Vegetarian,Breakfast
215,Bread,50,2025-03-30,315,Restaurant,Lake Andrewmouth,Vegetarian,Snacks
216,Vegetables,33,2025-03-16,206,Catering Service,Port Emilyburgh,Vegan,Dinner
217,Soup,42,2025-03-23,290,Supermarket,Bradleyport,Vegetarian,Lunch
218,Fish,38,2025-03-24,159,Grocery Store,North Brooke,Non-Vegetarian,Snacks
219,Fish,26,2025-03-18,323,Restaurant,Jasmineberg,Non-Vegetarian,Snacks
220,Pasta,18,2025-03-24,976,Restaurant,Davisview,Vegetarian,Snacks
221,Bread,11,2025-03-19,211,Restaurant,Lake James,Vegetarian,Snacks
222,Vegetables,23,2025-03-20,333,Restaurant,Port Heidiland,Vegan,Breakfast
223,Bread,38,2025-03-17,524,Grocery Store,West Amandafurt,Vegetarian,Snacks
224,Fruits,29,2025-03-19,556,Catering Service,Brittanyland,Vegan,Snacks
225,Fish,26,2025-03-24,340,Grocery Store,Murrayborough,Non-Vegetarian,Dinner
226,Rice,26,2025-03-22,242,Restaurant,Michaelport,Vegan,Snacks
227,Vegetables,25,2025-03-29,923,Supermarket,Jonestown,Vegan,Breakfast
228,Rice,12,2025-03-29,98,Supermarket,Gardnerfort,Vegan,Snacks
229,Pasta,26,2025-03-22,210,Grocery Store,Paulmouth,Vegetarian,Dinner
230,Fruits,17,2025-03-16,596,Restaurant,Zimmermanville,Vegan,Breakfast
231,Rice,33,2025-03-29,782,Supermarket,North Mary,Vegan,Breakfast
232,Soup,19,2025-03-28,610,Supermarket,Allenton,Vegetarian,Lunch
233,Fish,19,2025-03-26,26,Grocery Store,West Adammouth,Non-Vegetarian,Snacks
234,Rice,10,2025-03-16,888,Supermarket,West Sharonview,Vegan,Dinner
235,Dairy,38,2025-03-21,170,Catering Service,North Brentbury,Vegetarian,Lunch
236,Soup,50,2025-03-21,231,Supermarket,North Tom,Vegetarian,Lunch
237,Salad,39,2025-03-27,643,Supermarket,North Ebony,Vegan,Dinner
238,Vegetables,2,2025-03-27,621,Supermarket,Sarahland,Vegan,Breakfast
239,Pasta,26,2025-03-17,372,Restaurant,Lewisberg,Vegetarian,Dinner
240,Fruits,46,2025-03-26,319,Restaurant,Lake Amymouth,Vegan,Lunch
241,Fish,4,2025-03-23,135,Catering Service,East Candace,Non-Vegetarian,Breakfast
242,Soup,17,2025-03-21,655,Restaurant,Jimmyberg,Vegetarian,Dinner
243,Fruits,30,2025-03-24,750,Supermarket,Michaelton,Vegan,Snacks
244,Soup,17,2025-03-26,46,Grocery Store,South Lisaberg,Vegetarian,Snacks
245,Chicken,5,2025-03-16,48,Restaurant,Timothyview,Non-Vegetarian,Dinner
246,Salad,50,2025-03-28,768,Restaurant,South Danielle,Vegan,Snacks
247,Fish,17,2025-03-30,47,Supermarket,East Andrewland,Non-Vegetarian,Lunch
248,Vegetables,32,2025-03-21,960,Supermarket,Port Lance,Vegan,Lunch
249,Salad,39,2025-03-28,596,Restaurant,Zimmermanville,Vegan,Breakfast
250,Bread,8,2025-03-16,316,Supermarket,Williamsfort,Vegetarian,Snacks
251,Dairy,12,2025-03-24,241,Catering Service,Devinmouth,Vegetarian,Lunch
